percent	ang_W	r	phase	choose_angle	delta_1_x_5	delta_2_x_1	delta_3_x_2	delta_4_x_3	delta_5_x_4	delta_5_x_1	delta_1_x_2	delta_2_x_3	delta_3_x_4	delta_4_x_5
22.92	2.880	51.000	0.000	2.873	-1.567	0.775	0.190	2.923	2.746	2.824	2.995	-0.190	-0.410	2.281
23.61	2.967	51.000	0.000	2.924	-1.611	0.776	2.839	2.924	3.014	2.867	2.994	-2.839	-0.411	2.013
24.31	3.054	51.000	0.000	2.977	-1.870	0.797	2.937	2.981	-3.121	3.126	2.973	-2.937	-0.468	1.865
25.00	3.142	51.000	0.000	-3.126	-1.910	0.622	0.191	-3.109	3.090	-3.117	-3.136	-0.191	-0.661	1.937
25.69	-3.054	51.000	0.000	-3.070	-1.993	0.593	2.974	-3.031	-3.135	-3.034	-3.106	-2.974	-0.738	1.879
26.39	-2.967	51.000	0.000	-2.984	-1.992	0.489	2.777	-2.984	-2.969	-3.035	-3.002	-2.777	-0.786	1.712
27.08	-2.880	51.000	0.000	-2.931	-2.055	0.371	3.121	-2.931	-2.922	-2.971	-2.885	-3.121	-0.839	1.665
27.78	-2.793	51.000	0.000	-2.787	-2.234	0.240	2.822	-2.761	-2.787	-2.792	-2.753	-2.822	-1.009	1.530
28.47	-2.705	51.000	0.000	-2.716	0.476	0.196	2.770	-2.682	-2.723	0.781	-2.709	-2.770	-1.087	1.467
29.17	-2.618	51.000	0.000	-2.671	-2.257	0.083	2.711	-2.671	-2.631	-2.769	-2.596	-2.711	-1.099	1.374
29.86	-2.531	51.000	0.000	-2.524	-2.021	-0.032	2.488	-2.563	-2.560	-3.006	-2.482	-2.488	-1.207	1.303
30.56	-2.443	51.000	0.000	-2.471	-2.493	-0.041	2.441	-2.441	-2.469	-2.534	-2.472	-2.441	-1.329	1.212
31.25	-2.356	51.000	0.000	-2.296	-2.296	-0.159	2.267	-2.286	-2.330	-2.731	-2.355	-2.267	-1.484	1.073
31.94	-2.269	51.000	0.000	-2.294	-2.332	-0.219	2.265	-2.295	-2.264	-2.694	-2.294	-2.265	-1.475	1.007
32.64	-2.182	51.000	0.000	-2.232	-2.363	-0.344	2.232	-2.272	-2.138	-2.663	-2.169	-2.232	-1.498	0.882
33.33	-2.094	51.000	0.000	-2.062	-1.985	-0.585	2.142	1.560	-2.139	-3.041	-1.928	-2.142	0.953	0.882
34.03	-2.007	51.000	0.000	-2.004	-1.950	-0.549	2.044	1.372	-2.055	-3.076	-1.964	-2.044	1.142	0.798
34.72	-1.920	51.000	0.000	-1.965	-2.156	-0.546	1.963	1.448	-1.900	-2.870	-1.967	-1.963	1.065	0.644
35.42	-1.833	51.000	0.000	-1.844	-2.001	-0.654	1.829	1.398	-1.755	-3.026	-1.860	-1.829	1.116	0.498
36.11	-1.745	51.000	0.000	-1.737	-1.654	-0.764	1.725	1.354	-1.814	2.910	-1.749	-1.725	1.159	0.558
